Rank,Country,interval,Interval
145,Mongolia,0.483,0.429
146,Gambia,0.482,0.427
147,Maldives,0.477,0.43
148,Papua New Guinea,0.467,0.4
149,Uganda,0.464,0.404
150,Nepal,0.457,0.4
151,Kyrgyzstan,0.455,0.41
152,Togo,0.449,0.398
153,Turkmenistan,0.443,0.39
154,Tajikistan,0.428,0.381
155,Zimbabwe,0.427,0.352
156,United Republic of Tanzania,0.422,0.368
157,Djibouti,0.414,0.355
158,Eritrea,0.399,0.339
159,Madagascar,0.397,0.329
160,Viet Nam,0.393,0.366
161,Guinea,0.385,0.334
162,Mauritania,0.384,0.328
163,Mali,0.361,0.284
164,Cameroon,0.357,0.246
165,Lao People's Democratic,0.356,0.298
,Republic,,
166,Congo,0.354,0.302
167,Democratic People's,0.353,0.278
,Republic of Korea,,
168,Namibia,0.34,0.268
169,Botswana,0.338,0.288
170,Niger,0.337,0.266
171,Equatorial Guinea,0.337,0.277
172,Rwanda,0.327,0.268
173,Afghanistan,0.325,0.262
174,Cambodia,0.322,0.234
175,South Africa,0.319,0.251
176,Guinea-Bissau,0.314,0.239
177,Swaziland,0.305,0.234
178,Chad,0.303,0.231
179,Somalia,0.286,0.199
180,Ethiopia,0.276,0.215
181,Angola,0.275,0.198
182,Zambia,0.269,0.204
183,Lesotho,0.266,0.205
184,Mozambique,0.26,0.186
185,Malawi,0.251,0.174
186,Liberia,0.2,0.117
187,Nigeria,0.176,0.094
188,Democratic Republic of the,0.171,0.1
,Congo,,
189,Central African Republic,0.156,0
190,Myanmar,0.138,0
191,Sierra Leone,0,0
